1,1,123.46,334.65,131.94,55.920000000000016,1,1,1.0
1,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
1,3,734.23,268.24,69.87,38.44999999999999,1,1,1.0
2,1,96.37,337.27,137.23,57.629999999999995,1,1,1.0
2,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
2,3,721.13,269.99,69.86000000000001,38.44999999999999,1,1,1.0
3,1,64.91,342.51,149.49,57.629999999999995,1,1,1.0
3,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
3,3,708.89,272.61,69.87,38.44999999999999,1,1,1.0
4,1,43.07,345.1,149.49,61.15999999999997,1,1,1.0
4,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
4,3,693.18,272.61,76.03000000000009,38.44999999999999,1,1,1.0
5,1,20.83,347.12,149.48000000000002,61.15999999999997,1,1,1.0
5,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
5,3,678.78,274.89,76.02999999999997,38.44999999999999,1,1,1.0
6,1,0.0,352.18,147.06,61.14999999999998,1,1,1.0
6,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
6,3,664.62,275.91,76.03999999999996,38.44,1,1,1.0
7,1,0.0,352.18,124.8,67.21999999999997,1,1,1.0
7,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
7,3,651.48,278.9,76.02999999999997,40.51000000000005,1,1,1.0
8,1,0.0,359.25,100.5,67.23000000000002,1,1,1.0
8,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
8,3,634.3,277.4,81.08000000000004,45.04000000000002,1,1,1.0
9,1,0.0,363.6,77.6,62.879999999999995,1,1,1.0
9,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
9,3,619.67,280.81,85.03000000000009,45.04000000000002,1,1,1.0
10,1,0.0,363.6,50.3,62.879999999999995,1,1,1.0
10,2,209.09,250.77,92.61999999999998,41.059999999999974,1,1,0.0
10,3,603.1,282.76,85.01999999999998,45.05000000000001,1,1,1.0
11,1,0.0,374.2,25.4,50.0,1,1,1.0
